,price,Address,area,Bedrooms
1496,4000000.0,Other,950.0,2.0
1498,11500000.0,Other,1408.0,3.0
1502,8300000.0,Other,1325.0,3.0
1503,3700000.0,Other,680.0,2.0
1504,7800000.0,Other,1550.0,3.0
1505,5590000.0,Other,1081.0,3.0
1506,4500000.0,Other,900.0,3.0
1507,9500000.0,Other,1735.0,3.0
1508,13000000.0,Other,1958.0,3.0
1509,3200000.0,Other,850.0,2.0
1510,3500000.0,Other,900.0,2.0
1511,14400000.0,Other,2150.0,3.0
1512,7900000.0,Other,1575.0,3.0
1513,5700000.0,Other,892.0,2.0
1514,6000000.0,Other,1400.0,2.0
1515,15000000.0,Other,2200.0,4.0
1518,8500000.0,Other,1570.0,3.0
1519,6000000.0,Other,1250.0,2.0
1520,5000000.0,Other,900.0,3.0
1521,7000000.0,Other,900.0,2.0
1522,14000000.0,Other,2050.0,3.0
1525,6500000.0,Other,1008.0,3.0
1526,3500000.0,Other,997.0,2.0
1527,5200000.0,Other,1350.0,2.0
1528,4000000.0,Other,1000.0,2.0
1529,5200000.0,Other,1234.0,2.0
1530,7500000.0,Other,1220.0,3.0
1533,3400000.0,Other,1000.0,2.0
1534,8800000.0,Other,1691.0,3.0
1537,3800000.0,Other,700.0,2.0
1538,4000000.0,Other,950.0,2.0
1541,5000000.0,Other,650.0,2.0
1542,11500000.0,Other,2100.0,4.0
1544,11800000.0,Other,1660.0,3.0
1545,4000000.0,Other,1100.0,2.0
1546,4800000.0,Other,900.0,2.0
1549,6500000.0,Other,1200.0,3.0
1550,6000000.0,Other,1000.0,3.0
1551,4400000.0,Other,1165.0,2.0
1554,11500000.0,Other,1890.0,3.0
1555,10000000.0,Other,1490.0,3.0
1556,6000000.0,Other,1000.0,2.0
1558,12000000.0,Other,1835.0,3.0
1559,8300000.0,Other,1400.0,2.0
1560,3800000.0,Other,1015.0,2.0
1561,8500000.0,Other,1424.0,3.0
1563,5200000.0,Other,1130.0,2.0
1564,30000000.0,Other,4000.0,4.0
1565,12000000.0,Other,1875.0,3.0
1566,2800000.0,Other,750.0,2.0
1568,7500000.0,Other,1150.0,2.0
1569,4000000.0,Other,700.0,2.0
1570,4700000.0,Other,1156.0,2.0
1571,4160000.0,Other,895.0,2.0
1572,12900000.0,Other,1945.0,3.0
1573,6000000.0,Other,1000.0,3.0
1574,5200000.0,Other,900.0,3.0
1575,13600000.000000002,Other,1852.0,3.0
1576,8000000.0,Other,1635.0,2.0
1577,5600000.0,Other,1050.0,2.0
1578,13400000.0,Other,1789.0,3.0
1579,25000000.0,Other,3700.0,4.0
1581,3300000.0,Other,913.0,2.0
1582,15000000.0,Other,2268.0,3.0
1584,6000000.0,Other,1100.0,3.0
1585,4500000.0,Other,840.0,2.0
1586,4200000.0,Other,1000.0,2.0
1589,8000000.0,Other,1295.0,3.0
1590,4500000.0,Other,1065.0,2.0
1592,8500000.0,Other,1494.0,4.0
1593,4800000.0,Other,985.0,2.0
1594,7000000.0,Other,900.0,3.0
1595,3000000.0,Other,800.0,2.0
1598,4100000.0,Other,1164.0,2.0
1599,4500000.0,Other,720.0,2.0
1600,25000000.0,Other,3744.0,10.0
1601,4900000.0,Other,1348.0,2.0
1603,5500000.0,Other,1300.0,2.0
1604,4700000.0,Other,1100.0,2.0
1605,4800000.0,Other,720.0,2.0
1606,5800000.0,Other,1100.0,3.0
1607,7500000.0,Other,1000.0,2.0
1608,5500000.0,Other,1400.0,2.0
1610,5700000.0,Other,1000.0,3.0
1611,9650000.0,Other,1920.0,3.0
1613,4200000.0,Other,850.0,2.0
1614,11500000.0,Other,1900.0,3.0
1615,3500000.0,Other,900.0,2.0
1617,3400000.0,Other,900.0,2.0
1618,13500000.0,Other,2262.0,3.0
1620,13500000.0,Other,2050.0,3.0
1622,12000000.0,Other,1500.0,3.0
1623,10700000.0,Other,1920.0,3.0
1624,5100000.0,Other,713.0,2.0
1627,9500000.0,Other,1570.0,3.0
1628,8500000.0,Other,1350.0,3.0
1629,11500000.0,Other,1728.0,3.0
1630,5000000.0,Other,700.0,2.0
1631,3700000.0,Other,1075.0,2.0
1632,5900000.0,Other,925.0,2.0
1636,3500000.0,Other,840.0,2.0
1637,5500000.0,Other,800.0,2.0
1638,12000000.0,Other,2200.0,3.0
1640,8500000.0,Other,1650.0,3.0
1641,9500000.0,Other,1900.0,3.0
1642,7000000.0,Other,1100.0,3.0
1645,6500000.0,Other,1160.0,3.0
1647,9950000.0,Other,1350.0,4.0
1649,3450000.0,Other,1000.0,2.0
1650,9500000.0,Other,1437.0,3.0
1651,5200000.0,Other,1320.0,2.0
1653,4100000.0,Other,1000.0,2.0
1654,4700000.0,Other,900.0,2.0
1655,5550000.0,Other,1300.0,2.0
1657,9000000.0,Other,1100.0,3.0
1658,5000000.0,Other,1260.0,2.0
1659,4200000.0,Other,1150.0,2.0
1661,2300000.0,Other,600.0,2.0
1662,2500000.0,Other,600.0,2.0
1664,5600000.0,Other,1100.0,2.0
1665,4800000.0,Other,1234.0,2.0
1666,8200000.0,Other,1650.0,3.0
1667,13000000.0,Other,2230.0,3.0
1670,13000000.0,Other,1800.0,3.0
1671,13000000.0,Other,2010.0,4.0
1673,3500000.0,Other,800.0,2.0
1674,4200000.0,Other,1050.0,2.0
1675,11500000.0,Other,2040.0,4.0
1677,3600000.0,Other,1030.0,2.0
1678,3500000.0,Other,850.0,2.0
